,id,perc_syn,method,sampling,map,map50,prediction,recall,fitness,precision,set,Unnamed: 0
63,3bsy9w81,625,lllyasviel_canny,brisque_best,0.4894035471279572,0.7868091866645055,,0.6994402666666666,,0.7904126014424995,train,49.0
64,0299xjdh,625,lllyasviel_openpose,brisque_best,0.5000892621302683,0.8408060110571557,,0.785853,,0.8370311982842761,train,50.0
65,i265iye4,625,controlnet_segmentation,brisque_best,0.3799181005851448,0.7278265530304818,,0.6816216,,0.7444314008099303,train,51.0
66,m8iwvc8t,625,lllyasviel_canny,clipiqa+_best,0.4894035471279572,0.7868091866645055,,0.6994402666666666,,0.7904126014424995,train,52.0
67,stsvxxd8,750,controlnet_segmentation,coreset,0.3940122849251986,0.7253828720501408,,0.6829050666666666,,0.7317255359857533,train,53.0
68,hce8w53e,625,controlnet_segmentation,coreset,0.390720362076122,0.7291825618248977,,0.6732889333333334,,0.7303453604499788,train,54.0
69,3sjh5co4,500,controlnet_segmentation,coreset,0.386342987338835,0.7369164185102204,,0.6846404666666666,,0.7585668505938026,train,55.0
70,3sjh5co4,500,controlnet_segmentation,coreset,0.386342987338835,0.7369164185102204,,0.6846404666666666,,0.7585668505938026,train,56.0
71,4lw3zdp8,1500,real-small_dataset,baseline_2,0.4966149468204724,0.7511036233511149,,0.6785684666666666,,0.7494926865112493,train,57.0
72,6rp69qtx,1000,real-small_dataset,baseline_2,0.4953209374455833,0.7788295111187924,,0.6862873999999999,,0.8047268467113128,train,58.0
73,smhweei0,1250,real-small_dataset,baseline_2,0.4988386927982863,0.7781213227242114,,0.6994806,,0.7962110967179535,train,59.0
74,kc43c2cz,750,real-small_dataset,baseline_2,0.4747425198977917,0.762103421319259,,0.6777983540752873,,0.809939370162136,train,60.0
75,nmxfonei,500,real-small_dataset,baseline_2,0.4767694908318476,0.7912774673452074,,0.7243791999999999,,0.7748987040888999,train,61.0
76,vz2m2m99,375,real-small_dataset,baseline_2,0.4624555882657338,0.7639327693358617,,0.6952590000000001,,0.7996539680876436,train,62.0
77,d22tgq0z,1500,controlnet_segmentation,random,0.3519205917081714,0.6913093995940106,,0.6652683400808215,,0.7171942208925658,train,63.0
78,k316geht,500,crucible_mediapipe_face,random,0.3882423656942761,0.7165333205462542,,0.6345963644692312,,0.7655498043888729,train,64.0
79,5ojaxxgs,375,controlnet_segmentation,coreset,0.4168982881382386,0.7444909115809053,,0.7065449333333333,,0.7396017307139213,train,65.0
80,glmedz2y,875,crucible_mediapipe_face,confidence,0.314313005833601,0.6106975637627385,,0.5680064,,0.6800712651250421,train,66.0
81,5w5mlews,875,lllyasviel_canny,confidence,0.5222037771363666,0.8292876711154311,,0.7538939743791411,,0.8375131626565907,train,67.0
82,nw21aifu,875,lllyasviel_openpose,confidence,0.4945000309535623,0.8336144513911704,,0.7632778000000002,,0.8329467671553492,train,68.0
83,m0sdbpi1,750,crucible_mediapipe_face,confidence,0.3459750235816496,0.6681239789426553,,0.6462512666666668,,0.7037244289071942,train,69.0
84,dqytt8bt,750,lllyasviel_canny,confidence,0.516229690190108,0.8061459642753951,,0.7251914,,0.8296970032000145,train,70.0
85,r14dp366,750,lllyasviel_openpose,confidence,0.5103024325681361,0.8313082305678846,,0.7699013801801802,,0.8127011804169917,train,71.0
86,04fwd4hx,625,crucible_mediapipe_face,confidence,0.3612771399843483,0.686512646795311,,0.6469469122678234,,0.710468620150172,train,72.0
87,qxx2kpu2,625,lllyasviel_canny,confidence,0.5234789513534959,0.8151908326800892,,0.7445161333333334,,0.8307348529845558,train,73.0
88,m5q32upg,625,lllyasviel_openpose,confidence,0.4922898221525731,0.8201571199031076,,0.7651518564373897,,0.81362826078723,train,74.0
89,dymars1l,500,crucible_mediapipe_face,confidence,0.3834155698949644,0.7200819737061569,,0.6708720666666665,,0.735706416713809,train,75.0
90,telw6kdu,500,lllyasviel_canny,confidence,0.5029665472308842,0.7996778990414353,,0.7155076666666667,,0.7968836672415125,train,76.0
91,yxa0ilmp,500,lllyasviel_openpose,confidence,0.4901342940853437,0.8171012952868495,,0.739605086007747,,0.8171273798778135,train,77.0
92,jetbilap,375,crucible_mediapipe_face,confidence,0.3862945984461124,0.7061330416638565,,0.6496637333333334,,0.7294954140745287,train,78.0
93,6g5i7pv6,375,lllyasviel_openpose,confidence,0.4686830241338599,0.778071770216115,,0.7263102666666668,,0.7839162040157182,train,79.0
94,6g5i7pv6,375,lllyasviel_openpose,confidence,0.4686830241338599,0.778071770216115,,0.7263102666666668,,0.7839162040157182,train,80.0
95,c5vmz5i7,375,lllyasviel_canny,confidence,0.4877291522383326,0.8226863293781517,,0.7495190659871993,,0.8196140834494099,train,81.0
96,43ii67cq,500,crucible_mediapipe_face,random,0.3882423656942761,0.7165333205462542,,0.6345963644692312,,0.7655498043888729,train,82.0
