,id,perc_syn,method,sampling,map,map50,precision,recall,fitness,set,Unnamed: 0
146,u7zx39hl,875,lllyasviel_openpose,random,0.516955480777203,0.8701320409455549,0.8702438432859262,0.7824581274149353,0.5522731367940381,test,132.0
147,xcmit5we,875,controlnet_segmentation,random,0.3621815816310282,0.6992974591002369,0.6648586837008528,0.6943378143329275,0.3958931693779491,test,133.0
148,7sgcw83m,1000,crucible_mediapipe_face,random,0.3283448997055764,0.6723534074711682,0.6420238451221116,0.675547302166814,0.3627457504821356,test,134.0
149,5kow5bkn,1000,lllyasviel_openpose,random,0.4878349995838783,0.815060829699657,0.792090862445935,0.7365604294845749,0.5205575825954563,test,135.0
150,z3hzfeho,1000,lllyasviel_canny,random,0.5352006801662966,0.8712388708958191,0.8438368726478355,0.7925243532090741,0.5688044992392489,test,136.0
151,vje52z6n,1000,controlnet_segmentation,random,0.3610758888729992,0.7136152986164073,0.7562539341324268,0.6366666666666667,0.39632982984734,test,137.0
152,dx0red87,1250,lllyasviel_openpose,random,0.4979491933570531,0.8617601844256191,0.8102889940588781,0.82,0.5343302924639097,test,138.0
153,edbc9ghy,1250,lllyasviel_canny,random,0.5340048095517889,0.8516702144474774,0.846890935144965,0.7375079939235835,0.5657713500413577,test,139.0
154,jxrt3euh,1250,controlnet_segmentation,random,0.3564312542873918,0.6896330204538398,0.6765953230405096,0.6833333333333333,0.3897514309040366,test,140.0
155,j06lswjn,1250,crucible_mediapipe_face,random,0.3329303304358945,0.6858246293394904,0.7003746595781625,0.6233333333333333,0.3682197603262541,test,141.0
